Financial Goal,Risk Tolerance,Investment Horizon
80277,Medium,Short
57285,High,Short
45324,High,Short
47476,High,Medium
95873,High,Short
11370,Low,Medium
80560,Medium,Medium
35046,Low,Long
16818,Low,Long
61574,Medium,Long
12014,Medium,Long
79098,High,Medium
44414,High,Short
10837,Low,Short
79034,Medium,Long
94484,Medium,Medium
96763,Low,Short
19032,High,Long
33204,Low,Short
15282,Medium,Short
67296,Low,Short
66855,Medium,Medium
51672,Low,Medium
92644,Low,Medium
18929,Low,Long
53344,Low,Medium
79843,High,Medium
13199,Medium,Short
85015,Medium,Short
83494,Medium,Long
51160,Low,Short
39016,Low,Medium
19675,High,Long
57629,Medium,Short
37082,High,Medium
11370,Medium,Short
58741,Low,Long
51542,Medium,Medium
87736,Medium,Long
90817,High,Short
19405,Low,Short
69841,Medium,Short
23102,High,Short
56786,Low,Long
66024,Low,Long
63379,Low,Long
93410,Medium,Long
54600,Low,Short
93308,High,Short
31921,Medium,Long
31031,Medium,Medium
51160,Low,Long
91609,Low,Long
50832,Low,Medium
72256,Low,Long
32594,High,Short
89383,Low,Medium
30327,Medium,Short
80277,High,Medium
48253,Low,Long
64622,High,Long
29014,High,Medium
15295,High,Medium
90286,Medium,Medium
76474,Medium,Long
77494,High,Long
21745,Medium,Medium
49563,Medium,Long
20246,High,Long
87883,Low,Short
49234,Medium,Long
85056,Low,Short
90674,High,Long
61234,Medium,Long
10914,Low,Short
51539,Low,Short
24868,Low,Medium
62120,Low,Long
33906,Medium,Medium
47000,Low,Short
43365,High,Short
73090,Low,Short
17404,High,Long
31780,Low,Medium
39982,High,Short
57967,Medium,Long
61228,Low,Medium
59361,Medium,Short
31626,High,Short
17348,Low,Long
68622,Low,Medium
58895,High,Long
54148,Medium,Medium
70198,Medium,Medium
85903,High,Short
80666,Medium,Medium
85181,High,Long
56321,Low,Long
93720,Low,Long
39515,Medium,Short
79098,High,Short
34862,Low,Long
38735,High,Short
93551,High,Medium
53456,High,Long
32498,Medium,Medium
48620,Low,Short
47999,High,Long
71066,Medium,Short
60664,Low,Medium
99946,Medium,Medium
30312,High,Short
31031,Medium,Long
66209,High,Short
70060,Medium,Long
44646,High,Short
24817,Low,Medium
45425,Low,Long
79034,Low,Short
16062,Low,Short
60664,Medium,Short
95676,Low,Short
47039,High,Medium
70592,High,Long
34875,High,Long
55699,Low,Short
12816,Low,Long
58906,High,Short
68916,High,Long
96571,Medium,Medium
41248,Medium,Medium
21783,Low,Long
67639,Low,Long
16616,Medium,Long
38961,Low,Short
97080,High,Long
90369,High,Short
40567,Low,Short
90674,High,Short
43044,Medium,Short
75814,High,Short
55491,Medium,Short
33332,Low,Medium
88854,Low,Long
54748,High,Long
44295,Medium,Short
94946,High,Long
56245,Low,Medium
19294,High,Medium
29926,Medium,Short
32713,Low,Long
45181,High,Short
62469,Low,Medium
24513,High,Short
93673,Low,Long
68178,Low,Short
98330,High,Long
23173,Medium,Long
49563,Medium,Short
11370,Low,Medium
98246,Medium,Short
96060,High,Medium
74788,Low,Medium
28867,Medium,Long
65552,Medium,Medium
79720,Low,Medium
40977,High,Medium
87807,Low,Long
24245,Medium,Short
44169,Medium,Short
93673,Low,Long
93410,Low,Long
17809,Low,Medium
90750,Medium,Medium
73532,Low,Medium
94417,Medium,Medium
36104,Medium,Short
40691,Low,Long
90750,Low,Medium
44209,High,Short
41662,Medium,Medium
39557,Low,Medium
87508,Low,Short
58895,High,Short
95768,Medium,Long
82229,High,Short
56786,High,Short
12214,Medium,Long
86797,High,Long
80277,Low,Long
70183,Medium,Long
51542,High,Short
28867,Medium,Medium
41464,Low,Short
47051,Medium,Medium
60897,High,Medium
67639,Low,Medium
15295,High,Short
46019,High,Medium
59414,Medium,Long
60664,Medium,Short
89386,High,Short
36582,Medium,Long
19405,Low,Long
13599,Low,Medium
47664,High,Medium
54748,High,Short
57437,High,Long
30435,Low,Long
33265,Low,Short
10319,Medium,Short
99354,Low,Long
10875,High,Long
35159,Medium,Long
38077,Low,Short
39291,Medium,Short
63379,Low,Medium
12803,High,Long
88616,High,Short
68008,Medium,Short
59355,High,Short
42214,Medium,Medium
58360,Medium,Short
92781,Medium,Long
99558,Low,Medium
58741,High,Medium
43365,High,Medium
73837,High,Short
27020,Low,Short
85281,Medium,Long
16252,Medium,Short
76770,Low,Medium
21640,Low,Long
83332,Medium,Medium
31562,Low,Short
25401,Low,Short
82300,Medium,Long
41464,Low,Medium
57967,High,Short
32594,Medium,Long
51226,High,Long
35046,High,Medium
50108,High,Long
71051,Medium,Short
62400,Medium,Long
55463,High,Medium
38077,Medium,Medium
71097,High,Long
53178,Medium,Long
50108,Low,Short
46914,High,Medium
22511,Medium,Long
23675,High,Medium
23675,Medium,Long
13199,Medium,Short
71562,Medium,Short
74576,Medium,Medium
99054,Medium,Medium
83912,High,Long
62646,Low,Medium
16818,Low,Long
24245,Low,Short
12014,Low,Short
48234,Low,Medium
12508,Medium,Short
24868,High,Medium
99016,High,Long
10379,High,Long
20105,Medium,Medium
95894,Medium,Medium
12014,Low,Long
80666,Low,Medium
98527,High,Short
54320,Medium,Long
60330,Medium,Short
60664,High,Short
87563,Medium,Short
83685,High,Short
73876,Medium,Long
97833,Low,Medium
65545,Medium,Medium
31626,Low,Medium
52321,Low,Long
50050,High,Long
23965,Medium,Medium
62400,High,Medium
89386,Medium,Long
37039,Medium,Long
60341,Medium,Medium
95201,Medium,Medium
62207,Low,Long
76828,High,Medium
94319,Low,Long
34807,High,Short
90750,High,Long
22640,Low,Medium
46914,Medium,Long
42290,High,Medium
40567,Medium,Short
11443,Medium,Medium
79720,High,Short
32459,Medium,Long
96035,Medium,Short
34669,High,Short
35197,Medium,Short
33906,Low,Long
55796,High,Medium
65545,Medium,Long
47476,Low,Long
68578,Medium,Long
35859,Medium,Short
81717,High,Medium
77775,High,Short
30754,Medium,Short
21673,High,Short
96543,High,Long
97449,High,Medium
84524,Medium,Medium
31364,Low,Medium
39158,Medium,Long
37612,Low,Long
16252,Medium,Medium
27412,High,Short
33826,Medium,Long
55293,Medium,Long
67789,Low,Short
70592,Low,Medium
34025,Low,Medium
14702,Medium,Medium
17735,High,Long
60897,Medium,Medium
85696,Low,Short
29355,Low,Short
61905,Medium,Long
70198,Medium,Long
77748,High,Short
87563,High,Long
98330,Low,Long
34669,Medium,Long
60453,Low,Short
47999,Medium,Medium
80878,Low,Short
91205,Low,Short
42426,High,Medium
12803,Medium,Medium
24364,Medium,Long
30346,High,Short
88205,High,Long
39196,Low,Medium
41819,Medium,Short
22836,Low,Short
91165,Medium,Medium
76035,Low,Short
57028,Medium,Medium
46543,Low,Medium
91680,High,Medium
66628,High,Long
87807,Low,Short
80616,High,Short
71562,Low,Short
78898,Low,Medium
79720,Low,Long
82185,Low,Short
68520,Medium,Long
95676,Medium,Medium
87180,Medium,Medium
62678,High,Medium
63494,Low,Short
56750,High,Medium
27307,Medium,Medium
58906,High,Long
65318,High,Long
33332,High,Short
37603,Low,Long
31364,Low,Short
36690,Low,Short
26571,High,Medium
16818,Medium,Long
71237,Low,Long
98330,High,Short
32211,Low,Long
36484,Medium,Short
92781,Medium,Short
67761,Medium,Medium
62469,Medium,Short
47430,High,Long
23102,Medium,Short
56661,Medium,Long
30550,Low,Medium
39038,Medium,Medium
18669,Low,Long
28462,Low,Long
38191,High,Short
47999,High,Short
18898,Low,Short
29520,Low,Long
57028,Medium,Long
33565,High,Long
30288,Low,Short
28402,High,Long
46543,High,Long
42194,Medium,Medium
47016,High,Long
48253,Low,Long
95823,Low,Short
36251,Medium,Long
60151,Low,Medium
81278,High,Short
64851,Low,Long
26079,Low,Medium
19945,Low,Medium
20011,High,Medium
23080,Low,Medium
56003,High,Medium
76970,High,Short
91795,Low,Medium
49477,High,Long
56415,High,Short
91795,High,Short
10558,Low,Short
82185,Medium,Short
69149,High,Long
59176,Medium,Medium
78538,Medium,Medium
15295,Low,Short
27412,Low,Short
18447,Low,Medium
43672,High,Short
41997,Low,Medium
79067,High,Medium
14182,Medium,Long
31603,Medium,Medium
21640,Low,Long
68622,Low,Medium
30779,Low,Short
51539,Low,Long
47000,Low,Short
90817,High,Long
30312,Low,Long
35769,Low,Short
67296,Low,Medium
10837,Low,Short
63531,High,Long
91567,High,Short
34938,Medium,Short
77475,High,Medium
97101,Low,Medium
17848,Low,Medium
69841,Low,Short
26475,High,Short
35325,Medium,Medium
44625,High,Long
57792,Medium,Medium
85460,High,Long
22122,Medium,Short
96456,Low,Medium
73370,High,Short
63494,Medium,Short
46683,Low,Medium
23211,Medium,Long
66628,Low,Medium
46865,High,Medium
24492,Low,Medium
55491,High,Medium
80878,Low,Short
95010,High,Short
57437,Low,Long
74287,Low,Long
55022,Low,Short
16489,Low,Short
10185,High,Short
79985,High,Short
13038,Low,Medium
81097,Medium,Long
85039,Low,Long
57521,Medium,Medium
79720,High,Short
87736,Low,Long
26571,Low,Medium
66628,Medium,Medium
73341,Low,Short
60897,High,Medium
79098,High,Medium
18898,Low,Medium
76898,High,Long
10134,Medium,Long
16798,Medium,Long
82229,Low,Medium
16243,Medium,Medium
43957,Medium,Short
32594,Medium,Long
83730,High,Medium
87464,Medium,Short
17735,Medium,Medium
56415,High,Short
71778,Low,Short
72324,Medium,Short
14758,Low,Long
90674,High,Medium
83261,Medium,Long
97746,Low,Long
59958,High,Long
66655,Low,Short
66218,Low,Short
14317,High,Medium
23331,High,Short
83730,Low,Long
44625,Low,Medium
43957,Medium,Long
70198,Low,Long
43957,Low,Medium
65653,High,Short
35281,High,Long
61234,High,Long
99054,Low,Long
83308,Medium,Short
57792,Low,Medium
83789,Low,Long
78098,Medium,Long
19946,High,Long
30435,Low,Short
65653,Low,Short
74600,Medium,Short
22122,Medium,Medium
67177,Low,Short
85903,Medium,Medium
65095,Medium,Medium
57629,Low,Medium
23195,High,Short
33826,High,Medium
85281,Medium,Short
71990,Medium,Medium
16818,High,Short
32459,High,Long
42426,High,Long
56750,Low,Long
74073,Low,Long
86754,High,Long
96571,High,Medium
57967,Low,Long
94319,Medium,Short
81231,Medium,Medium
81469,Low,Medium
87590,Medium,Short
42487,Low,Long
19032,High,Medium
35769,High,Medium
67448,Medium,Short
16420,High,Short
16489,High,Long
79720,High,Long
72298,Low,Medium
35127,Low,Medium
81278,Low,Short
40691,Low,Long
74515,Medium,Short
16062,High,Long
30898,Low,Medium
47051,High,Medium
27782,Medium,Short
65361,Low,Long
70505,Medium,Long
90817,High,Short
49080,High,Short
54600,Medium,Long
85930,High,Short
73332,Medium,Long
32893,Medium,Long
45654,Low,Short
23102,Medium,Long
30482,High,Long
10794,High,Medium
70600,High,Long
64318,High,Long
32012,High,Short
86046,High,Long
54600,High,Short
68114,Low,Short
23811,Medium,Long
29498,High,Medium
57135,Low,Medium
68475,Medium,Short
61905,High,Long
52431,Medium,Long
96543,Low,Medium
41689,Medium,Long
76542,High,Long
10824,Medium,Long
71480,Low,Short
61228,Low,Medium
87807,Low,Medium
70563,Low,Medium
20330,Low,Long
18359,Medium,Short
93176,High,Long
36671,Low,Long
61234,Medium,Medium
30212,Low,Short
37322,High,Short
49169,Low,Long
52321,Low,Long
97676,Medium,Medium
49268,Low,Short
24245,Low,Medium
95010,Medium,Medium
82128,Low,Long
68622,Medium,Short
71097,Medium,Medium
61574,Medium,Long
68788,High,Long
35242,Medium,Medium
62902,High,Long
56245,Medium,Medium
42214,High,Medium
95830,High,Short
44911,Low,Medium
90364,High,Short
31364,Low,Medium
65780,High,Long
43672,High,Short
77748,High,Long
38054,Medium,Medium
47016,Low,Long
19946,High,Medium
10185,High,Medium
40009,Low,Medium
78538,Low,Long
78833,Low,Short
30327,High,Short
25685,Medium,Short
30754,High,Short
23711,Medium,Short
96980,High,Short
55699,Medium,Medium
41988,Medium,Medium
15202,Medium,Long
58342,Low,Medium
92947,Medium,Long
60008,Medium,Medium
71480,High,Long
78673,Medium,Long
16818,Medium,Long
38910,High,Medium
52321,Medium,Short
67396,Medium,Long
26340,Medium,Long
10837,Low,Medium
39882,High,Medium
89857,High,Medium
48467,Low,Short
64622,High,Medium
54600,Medium,Long
55699,Low,Long
32214,Low,Long
74600,High,Medium
51248,High,Long
52155,Low,Long
29520,Low,Medium
87736,Low,Long
15520,Low,Long
83685,Low,Medium
30435,Low,Medium
11333,Low,Long
74717,Low,Medium
17378,High,Long
12408,High,Long
60272,Low,Long
61574,High,Medium
19032,High,Long
89386,High,Long
73532,High,Short
67226,Medium,Medium
23156,Low,Medium
98630,Medium,Short
82300,High,Short
17404,High,Medium
76542,Medium,Short
16420,Medium,Short
45072,Low,Short
24868,Medium,Long
42138,Medium,Long
68023,High,Short
64017,Low,Medium
39158,Low,Long
77775,Low,Short
55782,High,Medium
59599,Low,Short
57517,Low,Long
35242,Medium,Short
73370,Medium,Medium
60151,Medium,Medium
43559,High,Medium
83789,High,Medium
24412,Medium,Long
72256,High,Long
84827,Medium,Short
10452,Low,Medium
74426,High,Long
99007,Low,Medium
73370,Medium,Medium
22723,Medium,Long
92012,Medium,Medium
17647,Low,Long
37612,Medium,Short
47476,Medium,Medium
60272,Medium,Medium
76403,Low,Medium
23102,High,Long
58334,Low,Short
41997,High,Long
30212,Low,Short
43365,Medium,Medium
28867,Medium,Short
43312,High,Short
98179,Medium,Long
30184,Low,Medium
51539,Medium,Long
63371,Medium,Medium
18797,High,Short
56245,Low,Long
58342,Low,Short
93835,Low,Medium
58587,High,Short
94475,Medium,Short
23080,Medium,Short
85930,High,Short
86302,Low,Long
16015,Low,Medium
50050,Low,Short
14970,High,Short
35197,Low,Long
73876,Low,Long
17837,Low,Short
92322,Medium,Medium
87508,Low,Long
20813,Low,Medium
17809,High,Medium
76474,Medium,Short
60008,High,Short
72019,High,Medium
57285,Medium,Medium
97746,High,Long
80560,High,Long
54513,High,Medium
10771,Medium,Medium
57517,Medium,Short
98450,Medium,Medium
67173,Low,Long
56786,Low,Short
85281,Low,Medium
28867,Medium,Short
12485,Medium,Short
71990,Medium,Short
16062,Low,Long
25685,Medium,Short
79098,Medium,Medium
96980,Low,Long
17378,Medium,Short
84827,Low,Short
30625,High,Short
58906,Low,Long
42426,High,Long
